time,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,target_x,target_y,target_theta,leg_l,leg_r,human_moving,human_sitting,human_detected
1768499931.270,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499931.770,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499932.270,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499932.770,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499933.270,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499933.770,4.19,2.49,-2.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499934.270,4.19,2.49,-2.08,5.13,-0.79,2.15,0.00,0.00,0.00,0.00,0.00,1,0,1
1768499934.770,4.19,2.49,-2.08,5.13,-0.79,2.15,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499935.270,4.19,2.49,-2.08,5.05,-0.73,2.22,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499935.772,4.19,2.49,-2.08,5.04,-0.77,2.26,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499936.270,4.19,2.49,-2.08,5.06,-0.80,2.28,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499936.770,4.19,2.49,-2.08,5.05,-0.84,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499937.270,4.19,2.49,-2.08,5.07,-0.86,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499937.770,4.19,2.49,-2.08,5.07,-0.86,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499938.270,4.19,2.49,-2.08,5.09,-0.87,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499938.770,4.19,2.49,-2.08,5.09,-0.87,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499939.270,4.19,2.49,-2.08,5.10,-0.89,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499939.770,4.19,2.49,-2.08,5.11,-0.89,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499940.270,4.19,2.49,-2.08,5.12,-0.89,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499940.770,4.19,2.49,-2.08,5.14,-0.89,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499941.270,4.19,2.49,-2.08,5.14,-0.89,2.29,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499941.772,4.19,2.49,-2.08,5.14,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499942.270,4.19,2.49,-2.08,5.15,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499942.770,4.19,2.49,-2.08,5.16,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499943.270,4.19,2.49,-2.08,5.15,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499943.770,4.19,2.49,-2.08,5.12,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499944.270,4.19,2.49,-2.08,5.12,-0.90,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499944.772,4.19,2.49,-2.08,5.10,-0.91,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499945.270,4.19,2.49,-2.08,5.11,-0.92,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499945.770,4.19,2.49,-2.08,5.16,-0.92,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499946.270,4.19,2.49,-2.08,5.08,-0.86,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499946.770,4.19,2.49,-2.08,5.11,-0.88,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499947.271,4.19,2.49,-2.08,5.11,-0.88,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499947.770,4.19,2.49,-2.08,5.03,-0.79,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499948.270,4.19,2.49,-2.08,4.97,-0.75,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499948.770,4.19,2.49,-2.08,4.93,-0.71,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499949.270,4.19,2.49,-2.08,4.89,-0.72,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499949.770,4.19,2.49,-2.08,4.87,-0.67,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499950.270,4.19,2.49,-2.08,4.87,-0.67,2.30,0.00,0.00,0.00,0.00,0.00,0,0,1
1768499950.770,4.19,2.49,-2.08,4.88,-0.64,2.30,0.00,0.00,0.00,0.00,72.86,0,0,1
1768499951.270,4.19,2.49,-2.08,4.87,-0.63,2.30,0.00,0.00,0.00,0.00,72.86,0,1,1
1768499951.770,4.19,2.49,-2.08,4.88,-0.62,2.30,0.00,0.00,0.00,0.00,72.86,0,1,1
1768499952.270,4.19,2.49,-2.08,4.88,-0.62,2.30,0.00,0.00,0.00,0.00,72.86,0,1,1
1768499952.770,4.19,2.49,-2.08,4.89,-0.65,2.30,0.00,0.00,0.00,0.00,72.86,0,1,1
1768499953.270,4.19,2.49,-2.08,4.89,-0.65,2.30,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499953.770,4.19,2.49,-2.08,4.89,-0.65,2.30,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499954.270,4.19,2.49,-2.08,4.90,-0.72,2.30,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499954.770,4.19,2.49,-2.08,4.90,-0.72,2.30,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499955.270,4.19,2.49,-2.08,5.08,-0.73,2.29,0.00,0.00,0.00,72.33,72.86,1,1,1
1768499955.770,4.19,2.49,-2.08,5.08,-0.73,2.29,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499956.270,4.19,2.49,-2.08,5.08,-0.73,2.29,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499956.770,4.19,2.49,-2.08,5.22,-0.73,2.70,0.00,0.00,0.00,72.33,72.86,1,1,1
1768499957.270,4.19,2.49,-2.08,5.29,-0.66,-0.17,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499957.770,4.19,2.49,-2.08,5.23,-0.59,-1.55,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499958.270,4.19,2.49,-2.08,5.23,-0.59,-1.55,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499958.770,4.19,2.49,-2.08,5.23,-0.59,-1.55,0.00,0.00,0.00,72.33,72.86,0,1,1
1768499959.270,4.19,2.49,-2.08,5.26,-0.51,-1.82,0.00,0.00,0.00,72.33,72.77,0,1,1
1768499959.770,4.19,2.49,-2.08,5.26,-0.51,-1.82,0.00,0.00,0.00,72.42,72.77,0,1,1
1768499960.271,4.19,2.49,-2.08,5.32,-0.48,-1.86,0.00,0.00,0.00,72.51,72.77,0,1,1
1768499960.770,4.19,2.49,-2.08,5.24,-0.69,-1.84,0.00,0.00,0.00,72.60,72.77,1,1,1
1768499961.270,4.19,2.49,-2.08,5.30,-0.59,-1.92,0.00,0.00,0.00,72.60,72.77,1,1,1
1768499961.770,4.19,2.49,-2.08,5.28,-0.51,-1.95,0.00,0.00,0.00,72.60,72.77,0,1,1
1768499962.270,4.19,2.49,-2.08,5.28,-0.51,-1.95,0.00,0.00,0.00,22.41,20.21,0,1,1
1768499962.770,4.19,2.49,-2.08,5.28,-0.51,-1.95,0.00,0.00,0.00,8.17,3.87,0,0,1
1768499963.270,4.19,2.49,-2.08,5.29,-0.48,-1.93,0.00,0.00,0.00,4.13,2.02,0,0,1
1768499963.770,4.19,2.49,-2.08,5.22,-0.70,-1.83,0.00,0.00,0.00,5.10,1.67,1,0,1
1768499964.270,4.19,2.49,-2.08,5.13,-0.73,-2.00,0.00,0.00,0.00,4.04,1.32,0,0,1
1768499964.770,4.19,2.49,-2.08,5.13,-0.73,-2.00,0.00,0.00,0.00,4.57,0.70,0,0,1
1768499965.270,4.19,2.49,-2.08,5.08,-0.63,-2.22,0.00,0.00,0.00,4.57,0.70,0,0,1
1768499965.770,4.19,2.49,-2.08,5.08,-0.63,-2.22,0.00,0.00,0.00,4.66,0.70,0,0,1
1768499966.270,4.19,2.49,-2.08,5.02,-0.57,-2.31,0.00,0.00,0.00,4.66,0.70,0,0,1
1768499966.770,4.19,2.49,-2.08,5.02,-0.57,-2.31,0.00,0.00,0.00,4.75,0.79,0,0,1
1768499967.270,4.19,2.49,-2.08,5.02,-0.57,-2.31,0.00,0.00,0.00,5.01,0.79,0,0,1
1768499967.770,4.19,2.49,-2.08,5.12,-0.48,-2.32,0.00,0.00,0.00,5.10,0.79,1,0,1
1768499968.270,4.19,2.49,-2.08,5.07,-0.47,-2.33,0.00,0.00,0.00,5.01,0.79,0,0,1
1768499968.770,4.19,2.49,-2.08,5.07,-0.47,-2.33,0.00,0.00,0.00,5.19,1.32,0,0,1
1768499969.270,4.19,2.49,-2.08,5.06,-0.47,-2.32,0.00,0.00,0.00,6.77,1.58,0,0,1
1768499969.770,4.19,2.49,-2.08,5.14,-0.44,-2.32,0.00,0.00,0.00,6.77,0.88,0,0,1
1768499970.270,4.19,2.49,-2.08,5.22,-0.48,-2.37,0.00,0.00,0.00,7.47,1.23,0,0,1
1768499970.770,4.19,2.49,-2.08,5.33,-0.37,-2.36,0.00,0.00,0.00,17.40,1.05,1,0,1
1768499971.270,4.19,2.49,-2.08,5.20,-0.32,-2.45,0.00,0.00,0.00,4.04,0.70,1,0,1
1768499971.770,4.19,2.49,-2.08,5.20,-0.32,-2.45,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499972.270,4.19,2.49,-2.08,5.13,-0.22,-2.61,0.00,0.00,0.00,0.97,0.79,1,0,1
1768499972.770,4.19,2.49,-2.08,5.13,-0.16,-2.64,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499973.270,4.19,2.49,-2.08,5.16,-0.12,-2.64,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499973.770,4.19,2.49,-2.08,5.17,-0.09,-2.64,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499974.270,4.19,2.49,-2.08,5.19,-0.07,-2.63,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499974.770,4.19,2.49,-2.08,5.19,-0.07,-2.63,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499975.270,4.19,2.49,-2.08,5.20,-0.08,-2.63,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499975.770,4.19,2.49,-2.08,5.20,-0.08,-2.63,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499976.270,4.19,2.49,-2.08,5.22,-0.09,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499976.770,4.19,2.49,-2.08,5.22,-0.09,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499977.270,4.19,2.49,-2.08,5.22,-0.09,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499977.770,4.19,2.49,-2.08,5.22,-0.09,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499978.270,4.19,2.49,-2.08,5.22,-0.09,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499978.770,4.19,2.49,-2.08,5.24,-0.10,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499979.270,4.19,2.49,-2.08,5.25,-0.10,-2.62,0.00,0.00,0.00,0.97,0.79,0,0,1
1768499979.770,4.19,2.49,-2.08,5.24,-0.11,-2.63,0.00,0.00,0.00,1.85,15.82,0,0,1
1768499980.270,4.19,2.49,-2.08,5.25,-0.10,-2.66,0.00,0.00,0.00,12.48,9.32,0,0,1
1768499980.770,4.19,2.49,-2.08,5.35,0.07,-0.14,0.00,0.00,0.00,13.27,8.88,1,0,1
1768499981.270,4.19,2.49,-2.08,5.35,0.07,-0.14,0.00,0.00,0.00,4.83,29.79,0,0,1
1768499981.770,4.19,2.49,-2.08,5.35,0.07,-0.14,0.00,0.00,0.00,7.12,3.87,0,0,1
1768499982.270,4.19,2.49,-2.08,5.37,0.52,0.45,0.00,0.00,0.00,0.62,3.25,1,0,1
