time,robot_x,robot_y,robot_theta,human_x,human_y,human_theta,target_x,target_y,target_theta,leg_l,leg_r,human_moving,human_sitting,human_detected
1768496937.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,0,1
1768496937.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,0,1
1768496938.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.51,72.60,0,1,1
1768496938.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496939.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496939.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496940.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496940.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496941.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496941.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.33,72.60,0,1,1
1768496942.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496942.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496943.179,1.61,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,1
1768496943.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,0
1768496944.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,0
1768496944.679,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,0
1768496945.179,1.62,5.96,0.56,0.00,0.00,0.00,0.00,0.00,0.00,72.42,72.60,0,1,0
